Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical
Egypt,"1,939",,146 ,,426,"1,367",
Algeria,"1,825",,275 ,,460,"1,090",60
Iceland,"1,689",,8 ,,841,840,11
Morocco,"1,617",+72,113 ,+2,153,"1,351",1
Moldova,"1,560",,30 ,,75,"1,455",80
Croatia,"1,534",,21 ,,323,"1,190",32
Hungary,"1,410",+100,99 ,+14,118,"1,193",58
New Zealand,"1,330",+18,4 ,,471,855,5
Iraq,"1,318",,72 ,,601,645,
Estonia,"1,309",+5,25 ,+1,98,"1,186",11
Kuwait,"1,234",+80,1 ,,142,"1,091",29
Slovenia,"1,205",+17,53 ,+3,150,"1,002",35
Azerbaijan,"1,058",,11 ,,200,847,27
Lithuania,"1,053",+27,23 ,,97,933,14
Bahrain,"1,040",,6 ,,555,479,3
Armenia,"1,013",+46,13 ,,197,803,30
Hong Kong,"1,005",+4,4 ,,360,641,13
Bosnia and Herzegovina,975,+29,37 ,,139,799,4
Kazakhstan,897,+32,10 ,,86,801,21
Cameroon,820,,12 ,,98,710,
Uzbekistan,796,+29,4 ,,42,750,8
North Macedonia,760,,34 ,,41,685,15
Slovakia,742,+14,2 ,,23,717,5
Diamond Princess,712,,11 ,,619,82,10
Tunisia,685,,28 ,,43,614,85
Bulgaria,669,+8,29 ,+1,68,572,35
Latvia,651,+21,5 ,+2,16,630,2
Lebanon,630,+11,20 ,,77,533,34
Bangladesh,621,+139,34 ,+4,39,548,1
Cuba,620,,16 ,,77,527,11
Cyprus,616,,10 ,,61,545,8
Afghanistan,607,+52,18 ,,32,557,
Andorra,601,,26 ,,71,504,17
Oman,599,+53,3 ,,109,487,3
Costa Rica,577,,3 ,,49,525,13
Ivory Coast,533,,4 ,,58,471,
Uruguay,501,+7,7 ,,224,270,17
Niger,491,,11 ,,41,439,
Burkina Faso,484,,27 ,,155,302,
Albania,446,+13,23 ,,217,206,7
Ghana,408,,8 ,,4,396,2
Channel Islands,407,,9 ,,48,350,
Honduras,393,+1,25 ,+1,7,361,10
Taiwan,388,+3,6 ,,109,273,
Réunion,388,, ,,40,348,3
Jordan,381,,7 ,,177,197,5
Malta,378,+8,3 ,,44,331,4
Kyrgyzstan,377,+38,5 ,,44,328,5
San Marino,356,,35 ,,53,268,14
Mauritius,319,,9 ,,28,282,3
Nigeria,318,,10 ,,70,238,2
Bolivia,300,+25,24 ,+4,2,274,3
Senegal,278,,2 ,,152,124,1
Palestine,268,,2 ,,57,209,
Montenegro,267,+4,2 ,,5,260,7
Vietnam,258,, ,,144,114,8
Georgia,252,+10,3 ,,63,186,6
Guinea,250,, ,,17,233,
Isle of Man,226,,2 ,,112,112,11
DRC,223,,20  ,,16,187,
Sri Lanka,203,+5,7 ,,55,141,1
Mayotte,196,,3 ,,59,134,3
Kenya,191,,7 ,,24,160,2
Djibouti,187,,2 ,,36,149,
Faeroe Islands,184,, ,,157,27,
Venezuela,175,,9 ,,93,73,6
Martinique,155,,6 ,,50,99,19
Guatemala,153,+16,3 ,,19,131,3
Guadeloupe,143,,8 ,,67,68,13
Brunei ,136,,1 ,,106,29,2
Paraguay,134,+1,6 ,,22,106,1
Gibraltar,129,, ,,84,45,1
El Salvador,125,+7,6 ,,21,98,3
Cambodia,122,+2, ,,77,45,1
Rwanda,120,, ,,18,102,
Trinidad and Tobago,112,,8 ,,12,92,
Madagascar,102,, ,,11,91,1
Monaco,92,,1 ,,5,86,4
Aruba,92,, ,,29,63,
Mali,87,,7 ,,22,58,
French Guiana,86,, ,,51,35,1
Liechtenstein,79,,1 ,,55,23,
Togo,76,,3 ,,25,48,
Ethiopia,71,+2,3 ,,10,58,
Jamaica,69,,4 ,,13,52,
Barbados,68,,4 ,,11,53,4
Congo,60,,5 ,,5,50,
Cayman Islands,53,,1 ,,6,46,3
Uganda,53,, ,,4,49,
French Polynesia,51,, ,,,51,
Sint Maarten,50,,9 ,,5,36,2
Bermuda,50,+2,4 ,,28,18,2
Gabon,49,+3,1 ,,1,47,
Liberia,48,,5 ,,3,40,
Bahamas,46,,8 ,,5,33,1
Guyana,45,,6 ,,8,31,3
Macao,45,, ,,10,35,1
Zambia,40,,2 ,,28,10,1
Myanmar,38,,3 ,,2,33,
Guinea-Bissau,38,, ,,,38,
Benin,35,,1 ,,5,29,
Eritrea,34,, ,,,34,
Haiti,33,,2 ,,,31,
Tanzania,32,,3 ,,5,24,
Saint Martin,32,,2 ,,11,19,5
Syria,25,,2 ,,5,18,
Libya,25,,1 ,,8,16,
Antigua and Barbuda,21,,2 ,,,19,1
Somalia,21,,1 ,,2,18,2
Maldives,20,+1, ,,13,7,
Mozambique,20,, ,,2,18,
Angola,19,,2 ,,4,13,
Sudan,19,,2 ,,2,15,
Laos,19,+1, ,,,19,
Equatorial Guinea,18,, ,,3,15,
New Caledonia,18,, ,,1,17,
Dominica,16,, ,,5,11,
Fiji,16,, ,,,16,
Mongolia,16,, ,,4,12,
Namibia,16,, ,,3,13,
Saint Lucia,15,, ,,4,11,
Zimbabwe,14,,3 ,,,11,
Curaçao,14,,1 ,,7,6,
Grenada,14,, ,,,14,2
Eswatini,14,+2, ,,7,7,
Belize,13,,2 ,,,11,1
Botswana,13,,1 ,,,12,
Malawi,12,,2 ,,,10,1
Nepal,12,+3, ,,1,11,
Saint Kitts and Nevis,12,, ,,,12,
St. Vincent Grenadines,12,, ,,1,11,
Chad,11,, ,,2,9,
Greenland,11,, ,,11,0,
Seychelles,11,, ,,,11,
Suriname,10,,1 ,,4,5,
Sierra Leone,10,, ,,,10,
MS Zaandam,9,,2 ,,,7,
Gambia,9,,1 ,,2,6,
Nicaragua,9,,1 ,,4,4,
Turks and Caicos,9,,1 ,,,8,
Montserrat,9,, ,,,9,1
Cabo Verde,8,,1 ,,1,6,
CAR,8,, ,,,8,
Vatican City,8,, ,,2,6,
Mauritania,7,,1 ,,2,4,
St. Barth,6,, ,,4,2,
Western Sahara,6,, ,,,6,
Bhutan,5,, ,,2,3,
Burundi,5,, ,,,5,
Falkland Islands,5,, ,,1,4,
Sao Tome and Principe,4,, ,,,4,
South Sudan,4,, ,,,4,
Anguilla,3,, ,,,3,
British Virgin Islands,3,, ,,2,1,
Caribbean Netherlands,3,+1, ,,,3,
Papua New Guinea,2,, ,,,2,
Timor-Leste,2,, ,,1,1,
Saint Pierre Miquelon,1,, ,,,1,
Yemen,1,, ,,,1,
China,"82,052",+99,"3,339 ",,"77,575","1,138",139
